"_id","Civilité","Découverte_Akigora","Mailing","SMS","Date_de_Création","Date_Mise_à_Jour","Acceptation_CGU","Validation_Email"
"637a32775611a441750a56e3","female","recherche web","FALSE","FALSE","20/10/2022","20/11/2022","VRAI","TRUE"
"637918615611a441750a566d","male","bouche à oreille","TRUE","TRUE","19/10/2022","20/11/2022","VRAI","TRUE"
"6377d9c85611a441750a550f","female","recherche web","FALSE","TRUE","18/10/2022","18/11/2022","VRAI","TRUE"
"6377b5c35611a441750a54f1","male","autre","FALSE","FALSE","18/10/2022","20/01/2023","VRAI","TRUE"
"637769d20d271579eb7100e2","female","autre","FALSE","FALSE","18/10/2022","28/11/2022","VRAI","TRUE"
"6376893e0d271579eb71000f","female","autre","TRUE","TRUE","17/10/2022","17/11/2022","VRAI","TRUE"
"6376196e0d271579eb70ffb8","male","autre","FALSE","TRUE","17/10/2022","09/08/2023","VRAI","TRUE"
"63760b610d271579eb70ff9c","female","autre","FALSE","FALSE","17/10/2022","17/11/2022","VRAI","TRUE"
"6375f9d8200d227818690724","female","autre","FALSE","FALSE","17/10/2022","01/12/2023","VRAI","TRUE"
"63751a52231df95a4ccc0c9b","female","autre","FALSE","FALSE","16/10/2022","18/11/2022","VRAI","TRUE"
"63751385231df95a4ccc0c92","male","bouche à oreille","FALSE","FALSE","16/10/2022","16/11/2022","VRAI","TRUE"
"6374f89f231df95a4ccc0c59","female","autre","FALSE","TRUE","16/10/2022","16/11/2022","VRAI","TRUE"
"6374e7c5231df95a4ccc0c30","female","bouche à oreille","TRUE","TRUE","16/10/2022","16/11/2022","VRAI","TRUE"
"6374b226231df95a4ccc0bd0","male","recherche web","FALSE","FALSE","16/10/2022","16/11/2022","VRAI","TRUE"
"6374a455231df95a4ccc0ba3","female","autre","FALSE","FALSE","16/10/2022","16/11/2022","VRAI","TRUE"
"6373d065231df95a4ccc0aaa","female","association partenaire","FALSE","FALSE","15/10/2022","21/11/2023","VRAI","TRUE"
"6372af72231df95a4ccc096d","male","publicité","FALSE","FALSE","14/10/2022","14/11/2022","VRAI","TRUE"
"6372aeb5231df95a4ccc096b","male","autre","FALSE","FALSE","14/10/2022","14/11/2022","VRAI","TRUE"
"63727134231df95a4ccc0955","male","bouche à oreille","FALSE","TRUE","14/10/2022","16/10/2023","VRAI","TRUE"
"6372610e231df95a4ccc0949","male","autre","FALSE","FALSE","14/10/2022","25/07/2023","VRAI","TRUE"
"6371eb57231df95a4ccc07ca","male","bouche à oreille","FALSE","FALSE","14/10/2022","14/11/2022","VRAI","TRUE"
"63716185231df95a4ccc073d","male","association partenaire","FALSE","FALSE","13/10/2022","25/11/2022","VRAI","TRUE"
"6371252e231df95a4ccc070d","female","autre","FALSE","FALSE","13/10/2022","08/01/2023","VRAI","TRUE"
"636e882d231df95a4ccc052b","female","recherche web","FALSE","FALSE","11/10/2022","11/11/2022","VRAI","TRUE"
"636e0ee6231df95a4ccc0512","male","recherche web","TRUE","FALSE","11/10/2022","11/11/2022","VRAI","TRUE"
"636df8f1231df95a4ccc050b","female","autre","FALSE","FALSE","11/10/2022","21/10/2023","VRAI","TRUE"
