_id,intitule,localisation,date_debut,date_fin,replacement_or_creation,presentiel_distanciel,isClosed,daysPlanned,forfait_remuneration
64ecce37364aa0079116adb7,Grande distribution : optimisation de la fonction achats,Bordeaux,17/10/2022,15/05/2023,RECONDUCTION,,TRUE,,hourly
64eccd27364aa0079116adb1,Grande distribution : optimisation de la fonction achats,Bordeaux,05/10/2023,04/04/2024,RECONDUCTION,,FALSE,,hourly
64eccca2364aa0079116adae,Grande distribution : optimisation de la fonction achats,Bordeaux,,,RECONDUCTION,,FALSE,,
64e8c02839328140f591f67c,Création d'entreprise,Bordeaux,14/04/2023,04/05/2023,Création de poste,,TRUE,,hourly
64e8643539328140f591f58e,HADOOP,Bordeaux,08/01/2024,30/01/2024,reconduction,,FALSE,,hourly
64e59e6439328140f591edbd,Mener des négociations en anglais (in english),Lyon,16/11/2023,10/04/2024,Création ,,TRUE,,hourly
64e317dd911dbb2585e113f4,Economie comportementale et décision financière,Bordeaux,09/01/2024,20/02/2024,Création ,,FALSE,,hourly
64df450d4ddf3367193b80f1,Management de projet - retour sur investissement,Lille / Arras,22/05/2023,26/05/2023,Création de poste,,TRUE,,hourly
64df24b84ddf3367193b8022,Security Cloud et Identity Access Management,Lyon,01/09/2022,30/06/2023,Création de poste,,FALSE,,hourly
64de47794ddf3367193b7cbb,reporting extra financier,Lyon,14/02/2023,02/04/2023,Création de poste,,TRUE,,hourly
64de29d3ba888158e0e66bef,correction des écrits de jury de soutenances de mémoire,Nantes,13/09/2023,15/09/2023,Création de poste,,FALSE,,hourly
64de2971ba888158e0e66beb,jury de soutenances mémoire,Nantes,13/09/2023,15/09/2023,Création de poste,,FALSE,,hourly
64dcb0c997d6b324b741de3e,Formateur UX Design,"Mérignac, France",26/06/2023,29/06/2023,Autre,presentiel,TRUE,,daily
64dcb0a097d6b324b741de3c,Formateur Bases de Données Avancées Réseau,"Mérignac, France",25/07/2023,31/07/2023,création,presentiel,TRUE,,daily
64d4f0a297d6b324b741d244,Jury Soutenance ASRBD,Bordeaux,12/09/2023,15/09/2023,Création,,FALSE,,hourly
64d0c3ce97d6b324b741c436,Droit de la propriété intellectuelle,,01/09/2023,31/05/2024,,,FALSE,,hourly
64d0904997d6b324b741c354,Jury Soutenance ASRBD,Bordeaux,12/09/2023,15/09/2023,Création,,TRUE,,hourly
64cd0e2b643f6b152bdacdc1,Jury Concepteur Développeur d’Applications (CDA),Bordeaux,04/09/2023,15/09/2023,Création,,FALSE,,hourly
64cb75fc643f6b152bdaca72,GESTION DES RISQUES DE LA PROPRIETE,Bordeaux,26/02/2024,11/06/2024,Création ,,FALSE,,hourly
64ca2a34643f6b152bdac8c8,Parfumerie,Bordeaux,01/09/2023,30/06/2024,Création,,FALSE,,hourly
64c3e2172a54af607b9247b4,Sobriété et accessibilité,Angouleme,05/02/2024,25/03/2022,Création de poste,,FALSE,,hourly
64c3e1b92a54af607b9247b2,Evenementiel,Angouleme,29/02/2024,26/03/2022,Création de poste,,FALSE,,hourly
64c3e1822a54af607b9247ad,Eco-conception d'un événement,Angouleme,09/02/2024,07/06/2022,Création de poste,,FALSE,,hourly
64c3dfd42a54af607b9247a5,Traffic Management et Growth Hacking,Angoulême,18/03/2024,17/06/2024,Création de poste,,FALSE,,hourly
64c3df8f2a54af607b9247a2,Stratégie webmarketing,Angoulême,26/09/2023,23/01/2024,Création de poste,,FALSE,,hourly
64c3df452a54af607b92479c,Stratégie digitale,Angoulême,19/09/2023,23/01/2024,Création de poste,,FALSE,,hourly
64c3de302a54af607b924798,Méthode et objectifs smart,Angoulême,11/03/2024,10/06/2024,Création de poste,,FALSE,,hourly
64c3dce72a54af607b92478c,Rédaction Web,Angoulême,09/01/2024,28/03/2024,Création de poste,,FALSE,,hourly
64c3dc4f2a54af607b924789,Référencement SEA,Angoulême,22/03/2024,21/06/2024,Création de poste,,FALSE,,hourly
64c3db7e2a54af607b924780,Story Telling,Angouleme,03/10/2023,19/12/2023,Création de poste,,FALSE,,hourly
64c3db192a54af607b924779,Savoir Convaincre,Angouleme,27/09/2023,24/01/2024,Création de poste,,FALSE,,hourly
64c3da962a54af607b924775,Relations presse,Angouleme,29/01/2024,27/05/2024,Création de poste,,FALSE,,
64c3d9d52a54af607b924765,Stratégie de communication,Angouleme,26/09/2023,26/06/2024,Création de poste,,FALSE,,hourly
64c239c802ad7455c86b99a1,PREVENTION DES RISQUES ET DEMARCHE QUALITÉ,Bordeaux,24/04/2023,20/06/2023,Création de poste,,FALSE,,
64c0d12d02ad7455c86b972d,UX Guerilla testing,Toulouse,24/03/2023,16/06/2023,Création de poste,,TRUE,,hourly
64bfe33602ad7455c86b9354,B3-S2-Finances responsables,Lyon,04/04/2024,16/05/2024,Création,,FALSE,,hourly
64bf904e02ad7455c86b8efd,Marketing sportif : Retail et grande distribution,Bordeaux,01/09/2022,30/06/2023,Création de poste,,FALSE,,
64bf8f3202ad7455c86b8ee7,outils de décisions statistiques,Bordeaux,01/09/2023,30/06/2024,Création de poste,,FALSE,,
64bf8e5f02ad7455c86b8ee0,Mathématiques appliquées,Bordeaux,23/11/2023,05/06/2024,Création de poste,,FALSE,,
64be94c502ad7455c86b8c6d,Risque de la co activité,Nantes,28/11/2023,01/12/2023,RECONDUCTION,,FALSE,,hourly
64be946302ad7455c86b8c66,Gestion de crise,Nantes,07/11/2023,10/11/2023,RECONDUCTION,,FALSE,,hourly
64be940402ad7455c86b8c63,Accessibilité,Nantes,23/01/2024,23/01/2024,RECONDUCTION,,FALSE,,hourly
